[rosmaster.master][INFO] 2016-08-11 14:07:46,439: +SERVICE [/arbotix/set_logger_level] /arbotix http://SMB303B:37821/
[rosmaster.master][INFO] 2016-08-11 14:07:46,450: +PUB [/diagnostics] /arbotix http://SMB303B:37821/
[rosmaster.master][INFO] 2016-08-11 14:07:46,453: +PUB [/joint_states] /arbotix http://SMB303B:37821/
[rosmaster.master][INFO] 2016-08-11 14:07:46,529: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:07:47,469: +SERVICE [/arbotix/SetupAnalogIn] /arbotix http://SMB303B:37821/
[rosmaster.master][INFO] 2016-08-11 14:07:47,470: +SERVICE [/arbotix/SetupDigitalIn] /arbotix http://SMB303B:37821/
[rosmaster.master][INFO] 2016-08-11 14:07:47,472: +SERVICE [/arbotix/SetupDigitalOut] /arbotix http://SMB303B:37821/
[rosmaster.master][INFO] 2016-08-11 14:14:43,348: +PUB [/rosout] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:14:43,353: +SERVICE [/controllerGUI/get_loggers] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:14:43,354: +SERVICE [/controllerGUI/set_logger_level] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:14:43,404: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:14:43,455: +PUB [/cmd_vel] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:14:43,463: +SUB [/joint_states] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:15:30,520: -SUB [/joint_states] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:15:30,520: -PUB [/rosout] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:15:30,520: -PUB [/cmd_vel] /controllerGUI http://SMB303B:33298/
[rosmaster.master][INFO] 2016-08-11 14:15:30,520: -SERVICE [/controllerGUI/get_loggers] /controllerGUI rosrpc://SMB303B:40856
[rosmaster.master][INFO] 2016-08-11 14:15:30,521: -SERVICE [/controllerGUI/set_logger_level] /controllerGUI rosrpc://SMB303B:40856
[rosmaster.master][INFO] 2016-08-11 14:15:30,568: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:15:47,065: +PUB [/rosout] /rostopic_10383_1470921346923 http://SMB303B:42422/
[rosmaster.master][INFO] 2016-08-11 14:15:47,069: +SERVICE [/rostopic_10383_1470921346923/get_loggers] /rostopic_10383_1470921346923 http://SMB303B:42422/
[rosmaster.master][INFO] 2016-08-11 14:15:47,071: +SERVICE [/rostopic_10383_1470921346923/set_logger_level] /rostopic_10383_1470921346923 http://SMB303B:42422/
[rosmaster.master][INFO] 2016-08-11 14:15:47,088: +SUB [/joint_states] /rostopic_10383_1470921346923 http://SMB303B:42422/
[rosmaster.master][INFO] 2016-08-11 14:15:47,090: publisherUpdate[/rosout] -> http://SMB303B:41049/
